,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3LMZ79mM8jGLMyCa6-D4nw,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,icecream:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1
3MMTwPtpiMlBDe-p07XK9A,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1
3S53VaMDPy8Lywk2TuPb4A,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,coffeeroasteries:1,bakeries:1,bars:1,bakeries:1,price_3:1,bakeries:1,bakeries:1,bars:1,bars:1,Northwest:1,Northwest:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1
3UfaNU33lD86wnyAIwyhzA,price_3:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,price_3:1,bars:1,coffeeroasteries:1,bars:1,bars:1,bars:1,coffeeroasteries:1
3c22LgxU9DkpT8oF74754g,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,Southeast:1,bakeries:1,bars:1,bars:1,bars:1,bars:1,coffeeroasteries:1,Southeast:1,bars:1,bars:1,bakeries:1,bakeries:1,bars:1
3g_vgaCNlvR5uKmUkSz8Rw,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,price_3:1,Central:0,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,bars:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,Central:0,coffeeroasteries:1,coffeeroasteries:1,bars:1
41MtZiv6L0dB4S9NdnO6_g,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bars:1,bars:1,Southeast:1,bars:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bakeries:1,coffeeroasteries:1,Southeast:1,bars:1,bakeries:1
4Imxj8nYyM2Vw56l2y1noQ,bars:1,price_3:1,sandwiches:1,price_3:1,bars:1,bars:1,price_3:1,price_3:1,bars:1,bars:1,bars:1,price_3:1,price_3:1,bars:1,bars:1,bars:1,price_3:1,price_3:1,price_3:1,Southwest:0
4KB9lTP3Tf3xfW2lMEYzdg,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1
4Uf6g20S-2ZcxJSuvVIjJg,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,price_3:1,bakeries:1,bakeries:1
4WlVklOsSd409skDsWwQkQ,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bars:1,coffeeroasteries:1,bakeries:1,bars:1,bakeries:1,coffeeroasteries:1,bars:1,bakeries:1,price_3:1,bakeries:1,bars:1,coffeeroasteries:1,bakeries:1
4k8-zCi4y6PsahRavlc2bw,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,Southeast:1,Southeast:1,bakeries:1,bakeries:1,bars:1,bars:1,coffeeroasteries:1,bakeries:1,bars:1
4y4obgWxi_CL25nRHrhuEA,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,bars:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,Southeast:1,bars:1,bars:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bars:1
52R6YBCMU0yycOHKcnTXhA,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bars:1,price_3:1,price_3:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,bakeries:1,coffeeroasteries:1
5EWSLyXrh4WWpAL1ghrgng,price_3:1,Northwest:1,coffeeroasteries:1,bars:1,bakeries:1,coffeeroasteries:1,price_3:1,Northwest:1,bars:1,Northwest:1,coffeeroasteries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,bars:1,coffeeroasteries:1,bakeries:1,bars:1,bakeries:1
5KibiQBLrIKGIc6VIYxhaw,bars:1,price_3:1,Northwest:1,bakeries:1,Northwest:1,coffeeroasteries:1,price_3:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,bars:1,Northwest:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1
5av7ZYxifKl1jPttRSvt7Q,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bars:1,coffeeroasteries:1
5dYuYB2sNZx9Vx1P3x5JbA,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,price_3:1,price_2:0,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bars:1
5dawy6OzNphOfecDP4De8g,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,bakeries:1,Northwest:1,price_3:1,price_3:1,bars:1,bars:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bars:1,bakeries:1,bakeries:1,bars:1,Northwest:1,coffeeroasteries:1,coffeeroasteries:1,bars:1
5mOW6BKTYPVa1OPyLStVFg,sandwiches:1,bars:1,price_3:1,desserts:1,price_1:1,bars:1,price_3:1,price_3:1,desserts:1,Central:1,bars:1,Central:1,desserts:1,Central:1,Central:1,price_3:1,price_1:1,bars:1,price_1:1,Central:1
62jyeuaoPpypSF9C2yncgQ,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,bars:1,bars:1,coffeeroasteries:1,Central:0,Southeast:1,Southeast:1,bakeries:1,Central:0
656jMu8i2rHVGtMleb_7Kg,Southeast:1,Southeast:1,Southeast:1,price_3:1,price_3:1,price_3:1,price_3:1,Southeast:1,Southeast:1,price_3:1,price_3:1,cafes:1,Central:1,price_3:1,cafes:1,price_3:1,price_3:1,price_3:1,price_3:1,cafes:1
690cxERsi3FBEoBOb2MOoQ,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,price_3:1
69BnQt-ykPsqriePrJKIqw,Central:1,Northwest:0,Northwest:0,bakeries:0,price_2:0,Southwest:0,Northwest:0,price_2:0,price_1:1,price_1:1,Central:1,price_1:1,Northwest:0,breakfast_brunch:0,breakfast_brunch:0,Central:1,Central:1,Central:1,breakfast_brunch:0,Central:1
6G_NEUIeW6DUUWzgY4IXJA,Southeast:1,Central:0,bars:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Central:0,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1
6LLRmCX0Gl7_x6bxSE-T3A,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,price_3:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,bakeries:1,bars:1,bakeries:1,Southeast:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1
6YUB481VjkkWDkP3XLy-XA,Northwest:1,coffeeroasteries:1,bakeries:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,coffeeroasteries:1,Central:0,coffeeroasteries:1,bakeries:1,Northwest:1,Northwest:1
6dsc7ibCyCJzPITbpzuNAQ,price_3:1,desserts:1,Northwest:1,price_3:1,price_4:1,price_3:1,desserts:1,Northwest:1,desserts:1,Northwest:1,price_3:1,Northwest:1,icecream:1,desserts:1,Northwest:1,price_4:1,Northwest:1,Northwest:1,Northwest:1,desserts:1
6kEfVfKfJQo38jFqVfk9CA,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,Southeast:1,bakeries:1,price_3:1,bakeries:1,bars:1,coffeeroasteries:1,bakeries:1,bakeries:1,coffeeroasteries:1,price_3:1,bakeries:1,bakeries:1,bakeries:1,bars:1,price_3:1
6yWq5SQLzwtYSV8z1MkbUQ,coffeeroasteries:1,Southeast:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,Southeast:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1
7SfAHIf_hNYrRdhew4pmlA,sandwiches:1,Southeast:1,Southeast:1,price_2:0,Southeast:1,sandwiches:1,bakeries:0,Southwest:0,price_1:1,Southeast:1,sandwiches:1,price_1:1,Central:1,price_1:1,Southeast:1,sandwiches:1,Central:1,Southwest:0,sandwiches:1,price_1:1
7Uw_HoXXi6pi1pTsVK4yfQ,sandwiches:1,Southeast:1,price_2:0,price_4:1,Southeast:1,price_1:1,price_1:1,price_1:1,Central:1,Central:1,bakeries:0,price_1:1,Southeast:1,price_1:1,price_4:1,price_1:1,bakeries:0,price_1:1,price_1:1,price_4:1
7XTmpN6INyLuuWAP6FF9sQ,price_3:1,bars:1,Northwest:1,Northwest:1,price_3:1,Northwest:1,bars:1,price_4:1,bars:1,desserts:1,Northwest:1,Northwest:1,price_3:1,Northwest:1,Central:0,bars:1,bars:1,bars:1,Northwest:1,price_3:1
7ZCrksh4e-yE4XzQJ8kS_Q,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,bakeries:1,bakeries:1,coffeeroasteries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bars:1,bakeries:1,bakeries:1,bars:1,sandwiches:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1
7ZQJbSGnW6-n9Zcg8HoPIg,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,price_3:1,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,bars:1,bars:1,coffeeroasteries:1,price_3:1,coffeeroasteries:1,bars:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,Southeast:1,coffeeroasteries:1
7_lCUJN3MObQvNDxIiE2kA,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,price_2:0,coffeeroasteries:1,coffeeroasteries:1,Central:1,coffeeroasteries:1,Central:1,coffeeroasteries:1,price_1:1,Central:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1
7dSI6yVMysWYoAtKcMG4KQ,sandwiches:1,price_3:1,price_3:1,Northwest:1,desserts:1,price_3:1,Northwest:1,price_3:1,desserts:1,Northwest:1,price_3:1,Northwest:1,icecream:1,Northwest:1,icecream:1,bars:1,Northwest:1,Northwest:1,Northwest:1,icecream:1
7idhsRlWXOeM2cwgXuMf3Q,coffeeroasteries:1,coffeeroasteries:1,Southeast:1,coffeeroasteries:1,coffeeroasteries:1,Central:1,coffeeroasteries:1,Southeast:1,Southeast:1,coffeeroasteries:1,Southeast:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,bars:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,coffeeroasteries:1,Central:1
7sNLNv5gpwr9F0eUWBbImQ,desserts:1,Central:1,price_1:1,Central:1,desserts:1,Central:1,Central:1,price_1:1,price_4:1,desserts:1,Central:1,price_4:1,desserts:1,price_1:1,desserts:1,desserts:1,desserts:1,price_1:1,price_1:1,Central:1
8-16ryk-5pdzUs_6cI_5aw,coffeeroasteries:1,bakeries:1,Northwest:1,Northwest:1,Northwest:1,Northwest:1,Northwest:1,Northwest:1,bakeries:1,bakeries:1,bakeries:1,bakeries:1,Northwest:1,Northwest:1,Northwest:1,coffeeroasteries:1,bakeries:1,Northwest:1,bakeries:1,Northwest:1
823Dnvcl40ilhKcixVfTkA,coffeeroasteries:1,coffeeroasteries:1,Northwest:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,Northwest:1,bakeries:1,coffeeroasteries:1,bakeries:1,bakeries:1,bakeries:1,coffeeroasteries:1,bakeries:1,Northwest:1,Northwest:1
8EdZQdVfbp4v5WhEONTvKw,bakeries:1,Northwest:1,bakeries:1,Northwest:1,Northwest:1,bakeries:1,bakeries:1,Northwest:1,Northwest:1,Central:0,bars:1,Northwest:1,bars:1,Northwest:1,Central:0,bakeries:1,bars:1,price_4:1,price_3:1,bakeries:1
